Timestamp,Equipment,Temperature,Vibration,Pressure
20-06-2023 10:31,Compressor3,28.3,0.7,11.9
20-06-2023 10:32,Pump4,27.9,1.4,11.8
20-06-2023 10:33,Turbine5,29.6,0.8,11.7
20-06-2023 10:34,ConveyorBelt6,28.8,1.1,11.6
20-06-2023 10:35,Mixer7,27.4,1.2,11.5
20-06-2023 10:36,Compressor3,29.1,0.9,11.4
20-06-2023 10:37,Pump4,30.2,1,11.3
20-06-2023 10:38,Turbine5,28.6,1.3,11.2
20-06-2023 10:39,ConveyorBelt6,29.9,0.7,11.1
20-06-2023 10:40,Mixer7,30.8,1.4,11
20-06-2023 10:41,Compressor3,28.3,0.8,10.9
20-06-2023 10:42,Pump4,27.9,1.1,10.8
20-06-2023 10:43,Turbine5,29.6,1.2,10.7
20-06-2023 10:44,ConveyorBelt6,28.8,0.9,10.6
20-06-2023 10:45,Mixer7,27.4,1,10.5
20-06-2023 10:46,Compressor3,29.1,1.3,10.4
20-06-2023 10:47,Pump4,30.2,0.7,10.3
20-06-2023 10:48,Turbine5,28.6,1.4,10.2
20-06-2023 10:49,ConveyorBelt6,29.9,0.8,10.1
20-06-2023 10:50,Mixer7,30.8,1.1,10
20-06-2023 10:51,Compressor3,28.3,1.2,9.9
20-06-2023 10:52,Pump4,27.9,0.9,9.8
20-06-2023 10:53,Turbine5,29.6,1,9.7
20-06-2023 10:54,ConveyorBelt6,28.8,1.3,9.6
20-06-2023 10:55,Mixer7,27.4,0.7,9.5
20-06-2023 10:56,Compressor3,29.1,1.4,9.4
20-06-2023 10:57,Pump4,30.2,0.8,9.3
20-06-2023 10:58,Turbine5,28.6,1.1,9.2
20-06-2023 10:59,ConveyorBelt6,29.9,1.2,9.1
20-06-2023 11:00,Mixer7,30.8,0.9,9
20-06-2023 11:01,Compressor3,28.3,1.3,8.9
20-06-2023 11:02,Pump4,27.9,0.7,8.8
20-06-2023 11:03,Turbine5,29.6,1.4,8.7
20-06-2023 11:04,ConveyorBelt6,28.8,0.8,8.6
20-06-2023 11:05,Mixer7,27.4,1.1,8.5
20-06-2023 11:06,Compressor3,29.1,1.2,8.4
20-06-2023 11:07,Pump4,30.2,0.9,8.3
20-06-2023 11:08,Turbine5,28.6,1,8.2
20-06-2023 11:09,ConveyorBelt6,29.9,1.3,8.1
20-06-2023 11:10,Mixer7,30.8,0.7,8
