Timestamp,Equipment,Temperature,Vibration,Pressure
20-06-2023 12:00,Pump6,25.3,0.8,12.2
20-06-2023 12:01,Mixer9,24.9,1.4,12.4
20-06-2023 12:02,Compressor5,26.6,0.9,12.1
20-06-2023 12:03,Turbine7,25.8,1.1,12.5
20-06-2023 12:04,ConveyorBelt8,24.4,0.7,12.3
20-06-2023 12:05,Pump6,26.1,1.3,12
20-06-2023 12:06,Mixer9,27.2,0.8,12.2
20-06-2023 12:07,Compressor5,25.6,1.2,12.3
20-06-2023 12:08,Turbine7,26.9,0.9,12.5
20-06-2023 12:09,ConveyorBelt8,25.7,1.1,12.7
20-06-2023 12:10,Pump6,24.3,0.7,12.8
20-06-2023 12:11,Mixer9,25.8,1.4,12.6
20-06-2023 12:12,Compressor5,27.1,0.8,12.4
20-06-2023 12:13,Turbine7,25.5,1.2,12.3
20-06-2023 12:14,ConveyorBelt8,26.8,0.9,12.1
20-06-2023 12:15,Pump6,25.6,1.1,12
20-06-2023 12:16,Mixer9,27,0.7,12.2
20-06-2023 12:17,Compressor5,25.4,1.3,12.3
20-06-2023 12:18,Turbine7,26.7,0.8,12.5
20-06-2023 12:19,ConveyorBelt8,25.5,1.2,12.7
20-06-2023 12:20,Pump6,24.1,0.9,12.8
20-06-2023 12:21,Mixer9,25.6,1.1,12.6
20-06-2023 12:22,Compressor5,27.9,0.7,12.4
20-06-2023 12:23,Turbine7,25.3,1.4,12.3
20-06-2023 12:24,ConveyorBelt8,26.6,0.8,12.1
20-06-2023 12:25,Pump6,25.4,1.2,12
20-06-2023 12:26,Mixer9,26.8,0.9,12.2
20-06-2023 12:27,Compressor5,25.2,1.1,12.3
20-06-2023 12:28,Turbine7,26.5,0.7,12.5
20-06-2023 12:29,ConveyorBelt8,25.3,1.3,12.7
20-06-2023 12:30,Pump6,24.9,0.8,12.8
20-06-2023 12:31,Mixer9,26.4,1.4,12.6
20-06-2023 12:32,Compressor5,27.7,0.9,12.4
20-06-2023 12:33,Turbine7,25.1,1.1,12.3
20-06-2023 12:34,ConveyorBelt8,26.4,0.8,12.1
20-06-2023 12:35,Pump6,25.2,1.2,12
20-06-2023 12:36,Mixer9,26.6,0.7,11.8
20-06-2023 12:37,Compressor5,24.8,1.3,11.7
20-06-2023 12:38,Turbine7,26.1,0.9,11.5
20-06-2023 12:39,ConveyorBelt8,25,1.1,11.4
20-06-2023 12:40,Pump6,24.6,0.8,11.3
